K,n_original,n_augmented,n_combined,aug_ratio,val_f1,test_f1,test_p,test_r,best_epoch,time_sec
5,107,260,367,2.43,0.68,0.6711,0.6573,0.6855,3,387.8
7,107,364,471,3.4,0.6638,0.69,0.6696,0.7117,3,440.7
4,107,208,315,1.94,0.6586,0.681,0.6501,0.7149,3,361.2
8,107,416,523,3.89,0.6584,0.6609,0.6454,0.6771,2,467.6
1,107,52,159,0.49,0.6582,0.6667,0.6585,0.6751,5,270.3
9,107,468,575,4.37,0.6549,0.6762,0.6613,0.6918,4,494.1
2,107,104,211,0.97,0.6485,0.667,0.6317,0.7065,5,307.6
6,107,312,419,2.92,0.648,0.6425,0.619,0.6677,3,413.3
3,107,156,263,1.46,0.6461,0.6443,0.6179,0.673,5,335.0
